Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2015,05,25,17.1,1,Y
IDCJAC0010,086338,2015,05,26,15.6,1,Y
IDCJAC0010,086338,2015,05,27,18.7,1,Y
IDCJAC0010,086338,2015,05,28,19.7,1,Y
IDCJAC0010,086338,2015,05,29,15.8,1,Y
IDCJAC0010,086338,2015,05,30,17.3,1,Y
IDCJAC0010,086338,2015,05,31,16.8,1,Y
IDCJAC0010,086338,2015,06,01,12.2,1,Y
IDCJAC0010,086338,2015,06,02,11.4,1,Y
IDCJAC0010,086338,2015,06,03,13.6,1,Y
IDCJAC0010,086338,2015,06,04,11.3,1,Y
IDCJAC0010,086338,2015,06,05,15.0,1,Y
IDCJAC0010,086338,2015,06,06,16.6,1,Y
IDCJAC0010,086338,2015,06,07,14.5,1,Y
IDCJAC0010,086338,2015,06,08,18.5,1,Y
IDCJAC0010,086338,2015,06,09,13.5,1,Y
IDCJAC0010,086338,2015,06,10,13.4,1,Y
IDCJAC0010,086338,2015,06,11,14.0,1,Y
IDCJAC0010,086338,2015,06,12,13.1,1,Y
IDCJAC0010,086338,2015,06,13,18.2,1,Y
IDCJAC0010,086338,2015,06,14,17.4,1,Y
IDCJAC0010,086338,2015,06,15,16.9,1,Y
IDCJAC0010,086338,2015,06,16,16.1,1,Y
IDCJAC0010,086338,2015,06,17,13.8,1,Y
IDCJAC0010,086338,2015,06,18,12.7,1,Y
IDCJAC0010,086338,2015,06,19,12.4,1,Y
IDCJAC0010,086338,2015,06,20,11.6,1,Y
IDCJAC0010,086338,2015,06,21,12.9,1,Y
IDCJAC0010,086338,2015,06,22,14.1,1,Y
IDCJAC0010,086338,2015,06,23,17.6,1,Y
IDCJAC0010,086338,2015,06,24,16.0,1,Y
IDCJAC0010,086338,2015,06,25,14.0,1,Y
IDCJAC0010,086338,2015,06,26,16.9,1,Y
IDCJAC0010,086338,2015,06,27,14.1,1,Y
IDCJAC0010,086338,2015,06,28,14.5,1,Y
IDCJAC0010,086338,2015,06,29,12.3,1,Y
IDCJAC0010,086338,2015,06,30,14.2,1,Y
IDCJAC0010,086338,2015,07,01,15.0,1,N
IDCJAC0010,086338,2015,07,02,11.9,1,N
IDCJAC0010,086338,2015,07,03,12.0,1,N
IDCJAC0010,086338,2015,07,04,10.6,1,N
IDCJAC0010,086338,2015,07,05,14.9,1,N
IDCJAC0010,086338,2015,07,06,11.5,1,N
IDCJAC0010,086338,2015,07,07,14.2,1,N
IDCJAC0010,086338,2015,07,08,14.8,1,N
IDCJAC0010,086338,2015,07,09,13.4,1,N
IDCJAC0010,086338,2015,07,10,14.3,1,N
IDCJAC0010,086338,2015,07,11,13.1,1,N
IDCJAC0010,086338,2015,07,12,12.3,1,N
IDCJAC0010,086338,2015,07,13,12.7,1,N
IDCJAC0010,086338,2015,07,14,9.8,1,N
IDCJAC0010,086338,2015,07,15,10.5,1,N
IDCJAC0010,086338,2015,07,16,12.3,1,N
IDCJAC0010,086338,2015,07,17,12.3,1,N
IDCJAC0010,086338,2015,07,18,11.5,1,N
IDCJAC0010,086338,2015,07,19,12.1,1,N
IDCJAC0010,086338,2015,07,20,14.7,1,N
IDCJAC0010,086338,2015,07,21,17.0,1,N
IDCJAC0010,086338,2015,07,22,16.6,1,N
IDCJAC0010,086338,2015,07,23,16.1,1,N
IDCJAC0010,086338,2015,07,24,15.0,1,N
IDCJAC0010,086338,2015,07,25,13.3,1,N
IDCJAC0010,086338,2015,07,26,11.6,1,N
IDCJAC0010,086338,2015,07,27,13.9,1,N
IDCJAC0010,086338,2015,07,28,14.4,1,N
IDCJAC0010,086338,2015,07,29,14.0,1,N
IDCJAC0010,086338,2015,07,30,12.3,1,N
IDCJAC0010,086338,2015,07,31,14.0,1,N
IDCJAC0010,086338,2015,08,01,11.4,1,N
IDCJAC0010,086338,2015,08,02,14.9,1,N
IDCJAC0010,086338,2015,08,03,10.8,1,N
IDCJAC0010,086338,2015,08,04,11.3,1,N
IDCJAC0010,086338,2015,08,05,10.8,1,N
IDCJAC0010,086338,2015,08,06,12.8,1,N
IDCJAC0010,086338,2015,08,07,13.1,1,N
IDCJAC0010,086338,2015,08,08,12.6,1,N
IDCJAC0010,086338,2015,08,09,13.3,1,N
IDCJAC0010,086338,2015,08,10,16.0,1,N
